"58","fhr1","Flint Hills Resources","\\BVMDM01\RAWDATA\BVMDM01\","Nortel","BWS1i"
"59","flt1","Faultless Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Custom Generic","BWS1i"
"60","fusion","Fusion IO","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Wireless Carrier Feeds","BWS1i"
"61","gardenfresh","Nexus IS - Garden Fresh","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"62","gmac","ATT - GMAC","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"63","got","Good Technology, Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"64","gowan","Gowan Company LLC","\\BVMDM01\RAWDATA\BVMDM01\","CCME File","BWS1i"
"65","grubb","Grubb & Ellis","\\BVMDM01\RAWDATA\BVMDM01\","Siemens","BWS1i"
"66","gwcc","Great West Casualty","\\BVMDM01\RAWDATA\BVMDM01\","Cisco | Avaya","BWS1i"
"67","hartusa","Hartford - USA","\\BVMDM01\RAWDATA\BVMDM01\","Avaya | Custom Generic","BWS1i"
"68","heartland","Heartland Alliance","\\BVMDM01\RAWDATA\BVMDM01\","Custom InterTel Filter","BWS1i"
"69","hulett","Hulett Environmental Service, Inc.","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"70","icc1","ICON Capital, inc.","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"71","joule","Black Box ( Joule )","\\BVMDM01\RAWDATA\BVMDM01\","Norstar CLID","BWS1i"
"72","juilliard","The Juilliard School","\\BVMDM01\RAWDATA\BVMDM01\","NEC","BWS1i"
"73","kaiser","Verizon - Kaiser Permanente","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | NEC","BWS1i"
"74","kbr","Kellogg Brown & Root Intl","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"75","kline","K-Line America / MABC","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | Mitel","BWS1i"
"76","knight","Knight Transportation","\\BVMDM01\RAWDATA\BVMDM01\","Cisco","BWS1i"
"77","KPR","Kaiser Permanante Riverside","\\BVMDM01\RAWDATA\BVMDM01\","Nortel | NEC","BWS1i"
